iteration,action,tested_feature,decision,f1_score,f1_improvement,num_features,accuracy,precision,sensitivity,auc_roc,selected_features
0,BASELINE,N/A,N/A,0.888888888888889,0.0,10,0.85,0.8,1.0,0.90625,"FPCI, Total Saccade Amplitude, FIXATION_COUNT, AS, AVERAGE_FIXATION_DURATION, OEI, Valid Viewing Duration, Dynamic range of pupil size, FSI, PIS"
1,KEEP,Pupil size ratio,ACCEPTED,0.923076923076923,0.03418803418803407,11,0.9,0.8571428571428571,1.0,0.8333333333333334,"FPCI, Total Saccade Amplitude, FIXATION_COUNT, AS, AVERAGE_FIXATION_DURATION, OEI, Valid Viewing Duration, Dynamic range of pupil size, FSI, PIS, Pupil size ratio"
2,KEEP,SACCADE_COUNT,ACCEPTED,0.9600000000000001,0.03692307692307706,12,0.95,0.9230769230769231,1.0,0.9166666666666666,"FPCI, Total Saccade Amplitude, FIXATION_COUNT, AS, AVERAGE_FIXATION_DURATION, OEI, Valid Viewing Duration, Dynamic range of pupil size, FSI, PIS, Pupil size ratio, SACCADE_COUNT"
