iteration,action,tested_feature,decision,inner_cv_mean_f1,inner_cv_std_f1,f1_improvement,num_features,fold_agreement,selected_features,test_f1,test_accuracy,test_precision,test_sensitivity,test_auc_roc
0,BASELINE,N/A,N/A,0.8243578643578644,0.08703863180683437,0.0,15,N/A,"FPCI, Total Saccade Amplitude, FIXATION_COUNT, AS, AVERAGE_FIXATION_DURATION, OEI, Valid Viewing Duration, Dynamic range of pupil size, FSI, PIS, PRR, AVERAGE_SACCADE_AMPLITUDE, FSI2, SACCADE_COUNT, Fixation_skewness",,,,,
FINAL,TEST_EVAL,N/A,N/A,0.8243578643578644,N/A,N/A,15,N/A,"FPCI, Total Saccade Amplitude, FIXATION_COUNT, AS, AVERAGE_FIXATION_DURATION, OEI, Valid Viewing Duration, Dynamic range of pupil size, FSI, PIS, PRR, AVERAGE_SACCADE_AMPLITUDE, FSI2, SACCADE_COUNT, Fixation_skewness",0.8799999999999999,0.85,0.8461538461538461,0.9166666666666666,0.9166666666666666
