iteration,num_features,action,tested_feature,decision,f1_score,accuracy,sensitivity,specificity,auc_roc,selected_features
0,5,BASELINE,N/A,N/A,0.8148148148148148,0.75,0.9166666666666666,0.5,0.8229166666666666,"['FIXATION_COUNT', 'FPCI', 'Total Saccade Amplitude', 'FSI', 'OEI']"
1,6,KEEP,PRR,ACCEPTED,0.888888888888889,0.85,1.0,0.625,0.8645833333333334,"['FIXATION_COUNT', 'FPCI', 'Total Saccade Amplitude', 'FSI', 'OEI', 'PRR']"
