iteration,action,tested_feature,decision,f1_score,f1_improvement,num_features,accuracy,precision,sensitivity,auc_roc,selected_features
0,BASELINE,N/A,N/A,0.7741935483870968,0.0,1,0.65,0.631578947368421,1.0,0.42708333333333337,FPCI
1,KEEP,Total Saccade Amplitude,ACCEPTED,0.888888888888889,0.1146953405017922,2,0.85,0.8,1.0,0.6979166666666666,"FPCI, Total Saccade Amplitude"
