Experiment,Accuracy,Precision,Recall,F1_Score,AUC_ROC
Exp1: 10 Features,0.6980952380952381,0.6980233658497759,0.6980952380952381,0.6978760034520738,0.773914306463326
Exp2: New Features Only,0.9342857142857143,0.9343813543872442,0.9342857142857143,0.9342647641002105,0.9860965867828613
Exp3: All 20 Features,0.981904761904762,0.9819055262471188,0.981904761904762,0.9819042526605309,0.9984241103848946
Exp4: Optimal 6 Features,0.9876190476190476,0.987621492290209,0.9876190476190476,0.9876193735344343,0.9991975308641975
