pic_3_3,CURRENT_FIX_DURATION,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,FIXATION_COUNT,PUPIL_SIZE_MAX,PUPIL_SIZE_MEAN,PUPIL_SIZE_MIN,SACCADE_COUNT,calculated_result
outman_045.jpg,5603.0,97.97,92.01,350.19,6.4,16,5354,4048.44,0,15,148.32679201820213
outman_063.jpg,5689.0,161.26,94.15,270.9,4.42,21,4285,3507.41,0,20,116.29002490122625
outna_005.jpg,5371.0,125.35,127.73,255.76,6.26,21,5649,4308.29,0,20,185.9080663087993
outna_015.jpg,5211.0,151.95,57.28,236.86,6.83,22,4804,3679.31,0,21,198.34328307575544
outna_045.jpg,5717.0,101.04,246.73,317.61,6.7,18,5495,4163.7,0,17,150.90588768204088
outna_059.jpg,5136.0,145.78,41,223.3,6.19,23,5621,4249.28,0,22,127.42719436768888
outna_067.jpg,5689.0,105.39,9.85,299.42,5.95,19,5180,4102.2,0,18,187.93727021407813
outna_089.jpg,5331.0,180.36,148.73,253.86,6.05,21,4751,3373.99,0,20,145.57332443486047
outna_199.jpg,4950.0,127.65,5.31,225.0,5.18,22,5241,3646.36,0,22,116.63325313073912
pat_003.jpg,5716.0,112.93,151.63,272.19,6.88,21,4470,3094.58,0,20,170.74480137806532
pat_009.jpg,5729.0,130.47,80.01,301.53,7.88,19,5009,3654.07,0,18,210.97296579269943
pat_033.jpg,5463.0,161.0,116.74,237.52,7.45,23,5198,3915.94,0,22,163.7525807033836
pat_043.jpg,5143.0,141.15,20.9,257.15,10.3,20,4874,3235.05,0,19,210.1955900048539
pat_159.jpg,5286.0,128.06,116.62,264.3,8.51,20,4064,3306.74,0,20,212.25743576099464
pre01.jpg,5133.0,0.0,113.94,285.17,6.62,18,4866,3538.63,0,17,124.9474959255276
pre02.jpg,5462.0,147.37,113.94,321.29,6.02,17,4822,3640.98,0,17,159.64582895074668
pre03.jpg,5277.0,89.25,149.09,329.81,3.58,16,5305,3601.01,0,15,196.47941187079888
pre04.jpg,5810.0,126.02,189.55,322.78,7.28,18,5288,3444.44,0,17,190.52967731055048
pre06.jpg,5662.0,111.75,171.93,283.1,7.57,20,4767,3754.93,0,19,186.97157407509752
pre10.jpg,5221.0,136.73,90.34,261.05,6.69,20,5168,3622.53,0,19,161.15716933044723
pre11.jpg,4763.0,124.12,230.36,264.61,7.71,18,4894,2967.24,0,18,176.01110652690343
pre12.jpg,5892.0,122.86,202.61,294.6,.,20,4613,3675.81,0,20,163.70127901744087
pre13.jpg,5636.0,132.65,155.23,296.63,5.48,19,4745,3724.39,0,18,172.46432961724418
pre18.jpg,5902.0,98.97,83.83,310.63,5.04,19,5298,4182.83,0,18,118.58717425990126
pre22.jpg,5502.0,142.34,35.78,289.58,6.1,19,4626,3572.93,0,18,220.2466722685697
pre23.jpg,5162.0,164.54,194.79,245.81,7.82,21,5570,4081.49,0,20,189.0291359204388
pre25.jpg,5709.0,130.95,132.58,317.17,8.61,18,5179,3316.0,0,17,193.28331738519583
pre26.jpg,5149.0,133.79000000000002,224.26,271.0,6.8,19,4811,3420.62,0,18,131.5871870236057
pre29.jpg,5531.0,100.69,187.23,291.11,5.13,19,5867,4084.73,0,18,100.9861363963819
pre31.jpg,5664.0,113.86,137.64,333.18,6.59,17,4916,3901.23,0,16,169.5255840935896
pre32.jpg,5501.0,158.06,.,250.05,5.38,22,4522,3429.7,0,21,129.89215172997262
rand_007.jpg,4804.0,131.47,109.31,252.84,8.05,19,4884,3360.33,0,19,175.31074829923253
rand_115.jpg,5083.0,142.51,171.95,317.69,6.84,16,5424,3556.56,0,16,147.9372845864757
sat_087.jpg,5396.0,42.42,99.02,284.0,5.18,19,4733,3374.35,0,18,142.08843952715722
sat_135.jpg,5358.0,128.67,95.06,267.9,8.09,20,4927,3803.98,0,19,168.950446460403
sat_153.jpg,4824.0,171.71,216.85,253.89,6.48,19,5118,3560.11,0,18,151.87400218860773
ske_001.jpg,5308.0,168.13,156.99,294.89,5.46,18,4910,3151.92,0,17,116.82831812360592
ske_005.jpg,5804.0,159.78,209.89,276.38,4.46,21,4796,3381.06,0,20,134.45850518718035
ske_007.jpg,5478.0,123.42,183.08,288.32,6.93,19,4832,3359.33,0,18,175.49960878081356
soc_035.jpg,5871.0,122.92,106.01,326.17,8.05,18,5272,4160.9,0,17,192.4087805744556
soc_059.jpg,5830.0,96.21,102.29,291.5,7.63,20,5032,3801.29,0,19,181.51618493844032
soc_097.jpg,5418.0,136.5,62.26,258.0,5.74,21,5688,4002.01,0,20,198.51063089256127
soc_175.jpg,6043.0,98.83,196.05,355.47,4.87,17,4976,3994.47,0,16,170.77546979141735
soc_187.jpg,5311.0,109.47,84.6,265.55,5.09,20,4739,3218.17,0,19,170.42121543629776
act_001.jpg,4939.0,122.11,76,214.74,5.72,23,1605,1077.54,0,22,184.1180562444316
act_025.jpg,5171.0,149.39,145.47,191.52,5.38,27,1379,1045.74,0,26,154.62866328482033
act_083.jpg,5124.0,174.23,149.25,197.08,7.01,26,1554,1100.19,0,26,216.9810522023649
act_151.jpg,4957.0,131.43,86.91,177.04,6.52,28,1499,1121.57,0,27,175.2898467941014
affe_001.jpg,5546.0,100.58,93.33,241.13,4.13,23,1296,953.18,0,22,138.3371880294573
affe_003.jpg,5035.0,114.47,98.97,209.79,5.6,24,1534,938.69,0,23,168.413383800887
affe_013.jpg,5316.0,171.2,61.9,166.12,5.13,32,2386,1573.4,0,31,134.07731143831853
affe_087.jpg,5308.0,127.21,201.6,204.15,4.8,26,2266,1519.28,0,25,146.26275170687248
affe_155.jpg,5370.0,124.75,183.61,223.75,.,24,1604,1144.99,0,24,127.29960338570966
affe_181.jpg,4946.0,167.28,178.43,206.08,7.41,24,1389,908.58,0,24,219.275845213564
art_029.jpg,5125.0,163.01,125.47,183.04,5.86,28,1693,993.59,0,27,139.28488637314328
art_041.jpg,4939.0,72.38,111.72,214.74,4.01,23,1427,951.77,0,22,103.35949272521653
art_051.jpg,5336.0,136.48,135.37,213.44,5.78,25,1388,1056.09,0,24,164.99332933701982
art_161.jpg,5370.0,152.86,88.41,233.48,6.59,23,1850,1209.47,0,22,181.6664164100077
art_163.jpg,4806.0,192.35,96.28,192.24,7.12,25,2298,1467.18,0,25,164.77450560319514
art_171.jpg,4797.0,131.1,86.88,191.88,6.52,25,1570,1077.74,0,25,224.38987170297912
bw_026.jpg,5411.0,128.81,55.98,186.59,4.68,29,1876,1310.38,0,29,138.24992996340555
bw_049.jpg,4409.0,139.78,33.34,169.58,7.52,26,1512,976.05,0,26,196.13186963747825
cat_005.jpg,5349.0,128.44,172.55,205.73,5.69,26,1539,1083.85,0,25,171.55536176320916
cat_146.jpg,4895.0,136.92,346.4,174.82,4.63,28,1856,1013.9,0,27,139.6753110939335
cat_195.jpg,5054.0,158.38,203.52,174.28,6.08,29,1195,899.53,0,29,215.8461618793752
cat_197.jpg,5193.0,130.17,32.3,207.72,5.03,25,1980,1024.55,0,25,140.6874601641641
fra_027.jpg,4972.0,153.72,100.51,207.17,.,24,1618,1011.15,0,24,155.66076720109476
fra_113.jpg,4946.0,89.36,109.82,235.52,.,21,1828,1166.59,0,22,116.2463177865277
fra_195.jpg,5161.0,145.16,60.26,191.15,5.56,27,1758,1204.41,0,26,156.2043331013995
ind_003.jpg,5198.0,138.1,180.11,207.92,.,25,1674,1135.96,0,26,176.50162328951637
ind_007.jpg,5191.0,176.86,19.25,192.26,6.07,27,2053,1167.59,0,27,163.49501292653787
ind_077.jpg,5124.0,149.53,148.91,197.08,.,26,1749,1227.24,0,26,159.65687913215177
inv_005.jpg,5032.0,104.02,53.83,201.28,6.64,25,1415,1032.94,0,24,222.13048383028084
inv_011.jpg,4775.0,183.72,219.24,176.85,6.73,27,1810,1171.64,0,26,175.37947416916413
inv_155.jpg,5376.0,136.79,184.36,199.11,4.74,27,1600,1083.06,0,26,127.88878470214462
inv_161.jpg,5406.0,127.48,73.88,225.25,6.16,24,1553,1065.97,0,24,141.76145816309787
inv_199.jpg,4494.0,167.6,15.31,160.5,6.25,28,2217,1318.28,0,28,167.27824886339906
jumb_007.jpg,4422.0,103.05,53.65,152.48,6.13,29,1544,1054.49,0,28,124.51117667746011
jumb_019.jpg,5062.0,147.4,153.12,210.92,6.65,24,1901,1315.64,0,24,188.56740975024
jumb_045.jpg,4693.0,163.8,59.01,156.43,5.72,30,1989,1266.35,0,30,145.86177062115436
jumb_095.jpg,5169.0,86.87,4.31,215.38,5.79,24,1958,1061.41,0,23,151.4789773783837
line_009.jpg,4591.0,197.91,285.39,170.04,6.98,27,1189,844.91,0,26,176.02528930022453
line_017.jpg,4427.0,226.91,85.55,158.11,.,28,1355,907.86,0,28,193.4750295677213
low_001.jpg,5091.0,111.56,16.11,231.41,.,22,1673,1195.36,0,22,141.83156695082363
low_007.jpg,4962.0,150.6,76.07,206.75,6.14,24,1634,1134.13,0,24,209.5957083557096
low_009.jpg,5260.0,114.79,47.74,228.7,5.24,23,1697,1264.24,0,22,115.62194731882924
low_011.jpg,5348.0,127.59,115.15,243.09,5.35,22,1661,1009.26,0,21,153.01115665577765
low_015.jpg,4836.0,155.57,57.13,193.44,5.48,25,1763,1142.56,0,24,175.01153554127924
low_017.jpg,4939.0,154.04,246.92,246.95,.,20,1432,941.17,0,20,88.9910899757384
low_037.jpg,4997.0,104.44,118.71,227.14,6.17,22,1348,920.94,0,21,146.0760131623011
noi_001.jpg,4983.0,123.99,155.82,226.5,4.9,22,1948,1127.35,0,22,107.7648126051537
noi_005.jpg,4966.0,131.32999999999998,182.54,191.0,4.7,26,1485,1001.76,0,25,106.59150215050612
noi_027.jpg,5028.0,116.11,216.75,239.43,.,21,1233,858.79,0,21,191.4602340771204
noi_047.jpg,4948.0,119.25,124.58,183.26,.,27,1280,882.33,0,27,124.22185796937973
noi_063.jpg,5224.0,135.39,191.81,217.67,.,24,1670,994.01,0,25,146.810329032979
noi_081.jpg,5142.0,166.94,213.96,197.77,6.74,26,1560,1004.23,0,25,174.27554500402067
noi_167.jpg,4961.0,197.13,105.1,183.74,6.05,27,1636,1075.2,0,26,163.76015585186204
obj_027.jpg,5148.0,154.6,78.97,214.5,4.66,24,1719,1101.62,0,24,108.54598009983565
obj_179.jpg,4745.0,165.79,250.84,182.5,4.4,26,2183,1278.64,0,25,120.26329396441592
outman_015.jpg,4869.0,129.19,88.22,187.27,5.06,26,1395,982.73,0,25,124.56416727384354
outman_045.jpg,5572.0,159.95,81.3,265.33,4.14,21,1346,935.1,0,20,110.9415709473244
outman_063.jpg,5290.0,157.76,92.24,203.46,5.24,26,1642,1067.15,0,25,137.6884265634593
outna_005.jpg,4853.0,114.99,59.59,194.12,5.7,25,1497,981.91,0,24,209.86131854803608
outna_015.jpg,4997.0,125.35,49.17,208.21,4.72,24,1350,981.06,0,23,105.01140937319136
outna_045.jpg,4722.0,95.47,55.92,196.75,3.73,24,1384,871.9,0,24,107.15462354983472
outna_059.jpg,5073.0,155.38,120.63,187.89,4.94,27,1530,1018.57,0,26,127.34804433278752
outna_067.jpg,5055.0,162.53,104.93,202.2,6.89,25,1438,1047.09,0,24,165.18670740325052
outna_089.jpg,4526.0,144.96,28.64,181.04,4.31,25,1413,865.55,0,24,150.1037820876139
outna_199.jpg,4892.0,113.09,65.01,188.15,4.74,26,1966,1297.23,0,26,121.814828910562
pat_003.jpg,5309.0,115.3,67.6,230.83,3.49,23,1462,793.41,0,22,127.4154497981981
pat_009.jpg,5422.0,128.69,91.85,208.54,4.31,26,1502,1019.08,0,25,143.71957749512578
pat_033.jpg,4809.0,159.04,212.68,165.83,5.35,29,1928,1287.39,0,28,126.49178273213523
pat_043.jpg,5255.0,74.89,10.17,250.24,6.95,21,1179,774.08,0,20,180.4608772115297
pat_159.jpg,4912.0,169.3,18.18,188.92,5.42,26,1320,927.59,0,25,138.6465710703848
pre01.jpg,5237.0,136.86,27.38,201.42,5.27,26,1781,1198.24,0,25,187.2699805235311
pre02.jpg,5320.0,174.17,20.65,190.0,.,28,1461,978.69,0,28,134.40133956768403
pre03.jpg,5396.0,120.63,61.47,234.61,6.36,23,1552,1025.67,0,22,229.84029642906384
pre04.jpg,5520.0,115.64,111.73,220.8,.,25,1623,1108.67,0,25,166.60954237543822
pre06.jpg,5304.0,124.08,3.78,196.44,5.97,27,1461,1122.17,0,26,134.52886367846642
pre10.jpg,4652.0,126.81,261.18,202.26,6.84,23,1968,1034.86,0,22,147.80927603658446
pre11.jpg,4962.0,0.0,118.81,190.85,7.69,26,1454,976.51,0,25,204.0457164472903
pre12.jpg,5211.0,160.01,118.81,200.42,6.16,26,1890,1128.03,0,25,130.81952487134996
pre13.jpg,4844.0,122.23,131.94,179.41,5.63,27,1889,943.05,0,26,180.4825389496557
pre18.jpg,5396.0,138.11,187.86,207.54,6.05,26,1143,919.7,0,25,177.54573948040726
pre22.jpg,5191.0,165.0,131.25,162.22,4.94,32,1876,1219.32,0,32,190.55512938289013
pre23.jpg,4857.0,169.21,23.32,161.9,6.91,30,1796,1230.66,0,29,188.016900922566
pre25.jpg,4811.0,107.16,113.09,200.46,6.72,24,1211,840.56,0,23,193.52237957974629
pre26.jpg,5194.0,127.34,135.26,192.37,5.97,27,1967,1231.74,0,27,154.03657829223212
pre29.jpg,4552.0,154.88,64,175.08,.,26,1561,1000.16,0,26,170.41671393381267
pre31.jpg,5164.0,160.54,133.08,206.56,5.72,25,1503,1066.37,0,25,206.0398063242669
pre32.jpg,5465.0,67.0,.,227.71,2.91,24,1632,1269.08,0,23,76.6195872573571
rand_007.jpg,4643.0,160.92000000000002,170.6,165.82,5.32,28,2044,1153.8,0,27,160.82232689089503
rand_115.jpg,4855.0,140.12,163.38,211.09,.,23,1833,1259.79,0,24,122.26920919131346
sat_087.jpg,5330.0,158.22,148.8,197.41,6.12,27,1561,1162.87,0,27,164.33585020756442
sat_135.jpg,4616.0,0.0,57.7,184.64,5.1,25,1409,920.42,0,24,172.23742074214425
sat_153.jpg,5181.0,108.73,57.7,199.27,.,26,1518,1067.94,0,26,164.94825813776674
ske_001.jpg,4656.0,244.1,.,155.2,4.57,30,1376,919.14,0,29,118.47521420530158
ske_005.jpg,5104.0,144.24,167.86,212.67,.,24,1581,860.92,0,24,116.39588940949672
ske_007.jpg,5077.0,147.88,140.53,175.07,3.38,29,1213,880.88,0,28,113.00298826635404
soc_035.jpg,5610.0,177.98,113.84,224.4,5.56,25,1100,916.45,0,25,171.65004094783566
soc_059.jpg,4768.0,178.73,176.11,176.59,6.41,27,1830,1269.13,0,26,149.57640182985415
soc_097.jpg,5261.0,107.09,38.53,263.05,2.46,20,1616,1040.56,0,19,93.5358600026868
soc_175.jpg,5377.0,163.85,131.78,206.81,2.97,26,1275,853.18,0,25,214.8649674676309
soc_187.jpg,5254.0,121.14,103.57,187.64,6.03,28,1851,1227.26,0,27,197.92489800725707
act_001.jpg,5794.0,151.46,248.9,340.82,7.16,17,2293,1773.77,0,16,161.7751258837968
act_025.jpg,5690.0,143.6,70.71,355.62,.,16,2379,1779.67,0,16,164.66425265342212
act_083.jpg,4025.0,136.86,104.77,251.56,9.06,16,2242,1259.97,0,15,148.59038553977342
act_151.jpg,4619.0,109.19,88.01,256.61,6.55,18,2504,1554.67,0,18,126.3626840432817
affe_001.jpg,5550.0,179.95,167.08,252.27,8.9,22,2755,1991.58,0,21,157.62128970337372
affe_003.jpg,5462.0,129.42,136.38,287.47,6.54,19,3035,2123.43,0,18,164.07896741239955
affe_013.jpg,5375.0,90.06,119.57,316.18,7.23,17,2454,1680.29,0,17,129.73483316874794
affe_087.jpg,5850.0,136.76,107.15,344.12,6.34,17,3416,2441.46,0,16,122.45857308344516
affe_155.jpg,5448.0,145.46,132.61,227.0,7.35,24,2581,1788.41,0,24,171.56875217069177
affe_181.jpg,5166.0,170.92000000000002,123.63,258.3,11.43,20,2729,1991.87,0,19,196.57161892833835
art_029.jpg,5056.0,132.33,253.95,361.14,9.03,14,1891,1315.73,0,13,179.79435217523198
art_041.jpg,5110.0,104.85,166.2,283.89,6.03,18,2461,1366.4,0,17,138.0428705753011
art_051.jpg,5831.0,141.7,150.25,323.94,5.88,18,2416,1801.45,0,17,157.66115269144356
art_161.jpg,4363.0,96.77,156.38,229.63,6.95,19,2837,1638.36,0,18,135.04477387718413
art_163.jpg,5050.0,112.79,2.31,265.79,6.38,19,2306,1526.11,0,18,159.3864514923486
art_171.jpg,5599.0,60.64,124.92,349.94,5.42,16,2482,1745.49,0,15,138.27354968633898
bw_026.jpg,5254.0,117.58,199.53,309.06,5.89,17,2515,1647.62,0,16,104.63858729455367
bw_049.jpg,5115.0,0.0,219.08,255.75,7.97,20,1894,1391.55,0,19,180.33457143151367
cat_005.jpg,4663.0,125.12,219.08,259.06,6.72,18,2331,1495.16,0,17,143.72000824597762
cat_146.jpg,5144.0,82.28999999999999,127.83,270.74,.,19,2419,1608.52,0,20,166.29245152830666
cat_195.jpg,5756.0,177.23,188.2,319.78,8.69,18,2572,1797.71,0,17,168.86893048170677
cat_197.jpg,5287.0,170.9,2.37,251.76,8.53,21,2423,1835.52,0,20,178.93878058481857
fra_027.jpg,5462.0,126.15,171.95,341.38,7.83,16,3103,2218.08,0,15,130.41636158778527
fra_113.jpg,5568.0,0.0,187.2,327.53,6.76,17,2632,1842.38,0,16,139.12051181120975
fra_195.jpg,5813.0,135.09,187.2,305.95,7.24,19,3228,2377.98,0,18,182.48863310296025
ind_003.jpg,5496.0,208.26,234.55,261.71,.,21,2741,2058.64,0,21,172.0630198631325
ind_007.jpg,5074.0,80.22,85.97,267.05,7.38,19,2195,1459.34,0,18,144.6343317165073
ind_077.jpg,5594.0,113.76,114.09,466.17,.,12,2827,1995.54,0,13,123.89036604879664
inv_005.jpg,5518.0,160.99,194.39,250.82,6.45,22,2554,1886.69,0,21,142.72697241804553
inv_011.jpg,4923.0,153.36,32.73,307.69,7.93,16,2769,1722.3,0,15,154.7301328454235
inv_155.jpg,5332.0,218.18,314.81,266.6,8.88,20,2952,2027.14,0,19,153.95969385697163
inv_161.jpg,3950.0,158.75,47.96,263.33,6.78,15,2757,1410.07,0,14,141.18403272944255
inv_199.jpg,5502.0,37.54,143.86,393.0,8.73,14,2939,1982.35,0,14,150.20163166155885
jumb_007.jpg,3817.0,134.27,167.3,190.85,5.56,20,2451,1126.72,0,20,145.25837857961912
jumb_019.jpg,4870.0,48.64,81.07,304.38,.,16,3059,1855.32,0,17,135.79752925058122
jumb_045.jpg,4969.0,184.01,66.11,261.53,.,19,2950,2030.36,0,19,183.0273185941626
jumb_095.jpg,4935.0,159.13,91.16,246.75,8.92,20,2770,1915.86,0,19,168.90325592256082
line_009.jpg,4974.0,156.51,196.89,261.79,8.71,19,1959,1368.86,0,19,156.17402756891656
line_017.jpg,5542.0,109.94,72.87,291.68,8.49,19,1679,1367.43,0,18,168.32918638003633
low_001.jpg,4564.0,96.18,142.31,304.27,7.7,15,2639,1481.47,0,14,165.67156519248675
low_007.jpg,5191.0,103.33,123.7,346.07,5.24,15,2692,1658.66,0,14,94.71552653666927
low_009.jpg,4895.0,130.94,144.47,326.33,3.47,15,1937,1263.24,0,14,90.24277534876192
